2025-10-13 17:20:30,758 | INFO | ARGV → fATR_trading.py
2025-10-13 17:20:30,758 | INFO | 🔧 Using config file: D:\QuantML\VS_QuantML_PROD_US\config.py
2025-10-13 17:20:30,759 | INFO | CFG → mode=percent, pct_trigger=0.0300, pct_step=0.0100, atr_trigger=1.00, atr_step=0.50, max_mult=2.50, interval=120s
2025-10-13 17:20:30,759 | INFO | ARGS → mode=None, pct_trigger=None, pct_step=None, atr_trigger=None, atr_step=None, max_mult=None, interval=None
2025-10-13 17:20:30,759 | INFO | ✅ EFFECTIVE → mode=percent (profile), pct_trigger=0.0070, pct_step=0.0040, atr_trigger=0.25, atr_step=0.20, max_mult=2.50, interval=60s
2025-10-13 17:20:36,087 | INFO | 🔍 Scanning 15 open positions: ALV, AMCR, AZO, COST, ENR, F, HLN, MTX, NG, PSKY …
2025-10-13 17:20:36,748 | INFO | ⬆️ Replaced TP for ALV LONG → 117.86
2025-10-13 17:20:37,138 | WARNING | submit_order doesn't support reduce_only in this SDK; retrying without it (was True).
2025-10-13 17:20:37,259 | WARNING | Failed to submit SL for ALV: insufficient qty available for order (requested: 10, available: 0)
2025-10-13 17:20:37,539 | WARNING | Failed to submit SL (retry) for ALV: insufficient qty available for order (requested: 10, available: 0)
2025-10-13 17:20:37,899 | ERROR | Failed to submit SL (retry) for ALV: insufficient qty available for order (requested: 10, available: 0)
2025-10-13 17:20:39,282 | WARNING | Failed to submit SL for ALV: insufficient qty available for order (requested: 10, available: 0)
2025-10-13 17:20:39,567 | WARNING | Failed to submit SL (retry) for ALV: insufficient qty available for order (requested: 10, available: 0)
2025-10-13 17:20:39,856 | ERROR | Failed to submit SL (retry) for ALV: insufficient qty available for order (requested: 10, available: 0)
2025-10-13 17:20:39,952 | CRITICAL | 🛡️ Failsafe: could not place SL for ALV after freeing. Investigate immediately.
2025-10-13 17:20:40,048 | INFO | └─ ALV: reason=unfavorable_or_flat delta=-1.126935
2025-10-13 17:20:40,669 | INFO | ⬆️ Replaced TP for AMCR SHORT → 7.93
2025-10-13 17:20:41,156 | WARNING | Failed to submit SL for AMCR: insufficient qty available for order (requested: 122, available: 0)
2025-10-13 17:20:41,438 | WARNING | Failed to submit SL (retry) for AMCR: insufficient qty available for order (requested: 122, available: 0)
2025-10-13 17:20:41,724 | ERROR | Failed to submit SL (retry) for AMCR: insufficient qty available for order (requested: 122, available: 0)
2025-10-13 17:20:43,109 | WARNING | Failed to submit SL for AMCR: insufficient qty available for order (requested: 122, available: 0)
2025-10-13 17:20:43,394 | WARNING | Failed to submit SL (retry) for AMCR: insufficient qty available for order (requested: 122, available: 0)
2025-10-13 17:20:43,674 | ERROR | Failed to submit SL (retry) for AMCR: insufficient qty available for order (requested: 122, available: 0)
2025-10-13 17:20:43,768 | CRITICAL | 🛡️ Failsafe: could not place SL for AMCR after freeing. Investigate immediately.
2025-10-13 17:20:43,863 | INFO | └─ AMCR: pct_move=0.038 trigger_pct=0.007 reason=trigger_not_met
2025-10-13 17:20:44,328 | WARNING | No open TP order found for AZO (LONG) — cannot amend TP.
2025-10-13 17:20:44,329 | INFO | Single-share position for AZO — skipping TP create to preserve SL safety.
2025-10-13 17:20:44,522 | WARNING | No free qty for new SL on AZO — TP/SL legs already reserve 1.0 of 1.0.
2025-10-13 17:20:44,711 | WARNING | Rebalance requested, but no TP found to reduce for AZO.
2025-10-13 17:20:45,997 | WARNING | No free qty for new SL on AZO — TP/SL legs already reserve 1.0 of 1.0.
2025-10-13 17:20:46,181 | WARNING | Rebalance requested, but no TP found to reduce for AZO.
2025-10-13 17:20:46,276 | CRITICAL | 🛡️ Failsafe: could not place SL for AZO after freeing. Investigate immediately.
2025-10-13 17:20:46,369 | INFO | └─ AZO: reason=unfavorable_or_flat delta=-38.84
2025-10-13 17:20:46,845 | INFO | Single-share position for COST — skipping TP amend to preserve SL safety.
2025-10-13 17:20:47,034 | WARNING | No free qty for new SL on COST — TP/SL legs already reserve 1.0 of 1.0.
